column_name,data_type,is_nullable,column_default
customer_id,STRING,YES,NULL
city,STRING,YES,NULL
postal_code,STRING,YES,NULL
age,INT64,YES,NULL
household_income,INT64,YES,NULL
income_bracket,STRING,YES,NULL
family_size,INT64,YES,NULL
home_ownership,STRING,YES,NULL
work_from_home_flag,BOOL,YES,NULL
education_level,STRING,YES,NULL
life_stage,STRING,YES,NULL
home_type,STRING,YES,NULL
home_square_footage,INT64,YES,NULL
property_value,INT64,YES,NULL
neighborhood_crime_rate,FLOAT64,YES,NULL
neighborhood_income_median,INT64,YES,NULL
fiber_availability,BOOL,YES,NULL
created_timestamp,DATETIME,YES,NULL
